rho_c,M_msun,R_km,Lambda,C,k2,profile,W_max,W_center
158489319246111.1,0.07343617124224236,7.448248014808227,390881509.7369439,0.014559258510640886,0.38355943723712876,,2.7760547287216597e-37,2.7760547287216597e-37
199526231496887.47,0.12343715525582578,8.200551096290237,45722360.96355441,0.02222727518838641,0.37209260503806557,,2.1911710529380844e-37,2.1911710529380844e-37
251188643150957.2,0.20435470224124044,8.982693763969557,5538303.721886089,0.03359397558783633,0.3554471524370993,,1.723566580966018e-37,1.723566580966018e-37
316227766016837.94,0.3308279992199956,9.765521834914908,706507.6714280094,0.05002535324295433,0.33201596013244195,,1.3486462030793879e-37,1.3486462030793879e-37
398107170553496.94,0.5186667722590373,10.50271677463645,97193.84658858528,0.0729239413739761,0.30066349091173966,,1.0469515101445301e-37,1.0469515101445301e-37
501187233627271.44,0.7780253514288098,11.129724112428763,14877.534128142388,0.10322685842927423,0.26156869527985516,,8.032473633603019e-38,8.032473633603019e-38
630957344480191.8,1.1371094924067582,11.620736479615662,2258.762857721244,0.14449472507778727,0.21341348704556637,,6.028083619688431e-38,6.028083619688431e-38
794328234724282.1,1.5429526004838912,11.852566950092472,416.0657700005627,0.19223104576667363,0.1638214967469926,,4.3920231291559445e-38,4.3920231291559445e-38
1000000000000000.0,1.9118413728290677,11.758259660564871,99.34481467331234,0.24010000551262026,0.11890423226551514,,3.0731951720543135e-38,3.0731951720543135e-38
1258925411794166.2,2.150909430095975,11.374199992815521,33.34884518418712,0.27924449768660303,0.0849366603254129,,2.0636121586537248e-38,2.0636121586537248e-38
1584893192461110.8,2.2495156391027873,10.781894129341103,14.553559519426345,0.30808979608964143,0.06059643285281034,,1.3168078501979927e-38,1.3168078501979927e-38
1995262314968882.8,2.2307586063517646,10.099843345589141,7.989398416497809,0.32615294210976653,0.04422948073519396,,7.976395355546196e-39,7.976395355546196e-39
2511886431509582.0,2.137322630946255,9.435421167003724,5.3999985966506845,0.3344969443563725,0.03391920620621532,,4.6050444665334473e-39,4.6050444665334473e-39
3162277660168379.0,2.0115076226609068,8.868282558108397,4.465291150632248,0.33493884753934366,0.028233755459158644,,2.553587021044557e-39,2.553587021044557e-39
3981071705534969.0,1.8861176460795221,8.448464523081961,4.456780656482668,0.32966614869241917,0.026030606802799512,,1.3724501461842853e-39,1.3724501461842853e-39
5011872336272715.0,1.7829639249493165,8.196843763489255,5.124643081881645,0.32120275366306567,0.026281562498169313,,7.210490177256342e-40,7.210490177256342e-40
6309573444801942.0,1.713577995016784,8.103231678471325,6.2838189206023625,0.3122690784203881,0.02798722429955735,,3.728795625856266e-40,3.728795625856266e-40
7943282347242821.0,1.6795670254384987,8.12666343347021,7.598618524491917,0.30518868424026163,0.03017644221212487,,1.9078953461655745e-40,1.9078953461655745e-40
