EOS,sigma,Lambda1p4_GR,Lambda1p4_median,Lambda1p4_p5,Lambda1p4_p95,DeltaLambda1p4_median,DeltaLambda1p4_p5,DeltaLambda1p4_p95,mc_samples
SLy,0.020502512562814067,455.0502509224901,462.3159579581183,432.80571078017886,493.8595684546062,7.265707035628219,-22.244540142311244,38.809317532116076,1000
SLy,0.02080402010050251,455.0502509224901,462.48209298579775,432.72110195476097,494.1286177918002,7.431842063307659,-22.32914896772912,39.07836686931012,1000
SLy,0.021105527638190954,455.0502509224901,462.62816259740634,433.0752044079048,494.4725826061061,7.5779116749162565,-21.9750465145853,39.42233168361599,1000
SLy,0.021407035175879396,455.0502509224901,462.76631797764486,433.34802329073113,494.79693858923576,7.716067055154786,-21.702227631758966,39.74668766674569,1000
SLy,0.021708542713567838,455.0502509224901,462.87894141727367,433.46139318984655,494.9865109294259,7.828690494783597,-21.588857732643536,39.93626000693581,1000
SLy,0.02201005025125628,455.0502509224901,463.0286725747858,433.5112614277877,495.2919759716474,7.978421652295726,-21.538989494702363,40.241725049157324,1000
SLy,0.02231155778894472,455.0502509224901,463.2406165906105,433.26984104501616,495.4428003346412,8.190365668120418,-21.780409877473897,40.392549412151126,1000
SLy,0.022613065326633163,455.0502509224901,463.5381515364228,433.25997086970654,495.5006923130572,8.48790061393273,-21.790280052783572,40.45044139056712,1000
SLy,0.022914572864321605,455.0502509224901,463.7377065481757,433.16018014554,495.59119396014546,8.687455625685647,-21.890070776950083,40.54094303765541,1000
SLy,0.023216080402010047,455.0502509224901,463.8903279066751,433.2918815729763,495.7998161127115,8.84007698418504,-21.758369349513774,40.749565190221404,1000
SLy,0.02351758793969849,455.0502509224901,464.0399749271762,433.14395097692824,496.03211686347123,8.989724004686146,-21.90629994556184,40.98186594098116,1000
SLy,0.02381909547738693,455.0502509224901,464.27728549885376,433.02635916581863,496.35616790648334,9.227034576363664,-22.023891756671446,41.30591698399327,1000
SLy,0.024120603015075376,455.0502509224901,464.4114510346576,433.12673609263015,496.83688875651126,9.361200112167522,-21.92351482985994,41.7866378340212,1000
SLy,0.024422110552763818,455.0502509224901,464.5094799756646,433.26018221519286,496.9941805807489,9.459229053174528,-21.790068707297237,41.94392965825884,1000
SLy,0.02472361809045226,455.0502509224901,464.6423941724842,433.234256038365,497.1348209857362,9.59214324999416,-21.815994884125075,42.08457006324613,1000
SLy,0.0250251256281407,455.0502509224901,464.584239904097,433.208577907059,497.2699276940486,9.533988981606914,-21.841673015431088,42.21967677155851,1000
SLy,0.025326633165829143,455.0502509224901,464.7059049106365,433.1369530075374,497.5351595348728,9.655653988146428,-21.913297914952707,42.484908612382696,1000
SLy,0.025628140703517585,455.0502509224901,464.7963862257717,433.16759297675264,497.7019696713569,9.7461353032816,-21.882657945737463,42.651718748866834,1000
SLy,0.025929648241206027,455.0502509224901,464.77311506905755,433.19093835592,497.94281811534546,9.722864146567492,-21.85931256657004,42.89256719285539,1000
SLy,0.02623115577889447,455.0502509224901,464.83331963618724,433.24293475456136,498.1314427032366,9.783068713697183,-21.8073161679287,43.0811917807465,1000
SLy,0.02653266331658291,455.0502509224901,464.8943540386982,433.23674166933534,498.2449551993553,9.844103116208153,-21.81350925315475,43.1947042768652,1000
SLy,0.026834170854271353,455.0502509224901,465.02717244443306,433.31292740101,498.3515953282696,9.976921521942987,-21.737323521480114,43.301344405779496,1000
SLy,0.027135678391959794,455.0502509224901,465.11289181170787,433.6837998908686,498.49323648645327,10.062640889217763,-21.366451031621466,43.44298556396316,1000
SLy,0.02743718592964824,455.0502509224901,465.2561624977344,433.88129095182086,498.8047990545564,10.205911575244345,-21.168959970669242,43.754548132066304,1000
SLy,0.02773869346733668,455.0502509224901,465.3909267890869,434.4046208611696,499.0624560677389,10.340675866596845,-20.645630061320507,44.01220514524882,1000
SLy,0.028040201005025123,455.0502509224901,465.5340372348333,434.6977083144835,499.0853117974335,10.483786312343227,-20.352542608006566,44.03506087494341,1000
SLy,0.028341708542713565,455.0502509224901,465.6219407288411,434.7312104321567,499.29972663752477,10.571689806351024,-20.3190404903334,44.24947571503468,1000
SLy,0.028643216080402007,455.0502509224901,465.6305071257112,434.82497684736984,499.5159053687317,10.58025620322108,-20.22527407512023,44.465654446241615,1000
SLy,0.02894472361809045,455.0502509224901,465.7338817436865,434.9146674893892,499.55661907691456,10.683630821196406,-20.13558343310085,44.506368154424464,1000
SLy,0.02924623115577889,455.0502509224901,465.9073767676549,434.8905945188391,499.6923724143308,10.857125845164823,-20.159656403650935,44.64212149184071,1000
SLy,0.029547738693467333,455.0502509224901,466.09459540583896,434.9001865819359,499.74973178493764,11.044344483348905,-20.15006434055419,44.69948086244756,1000
SLy,0.029849246231155774,455.0502509224901,466.24439711432916,434.9061652515088,499.79768849550277,11.194146191839057,-20.144085670981248,44.74743757301267,1000
SLy,0.030150753768844216,455.0502509224901,466.41815593117536,434.87124580834313,499.8362425460261,11.367905008685286,-20.17900511414694,44.78599162353603,1000
SLy,0.030452261306532658,455.0502509224901,466.43885537654137,434.99576555911824,499.8939901732558,11.388604454051276,-20.054485363371853,44.843739250765765,1000
SLy,0.030753768844221104,455.0502509224901,466.5381744810483,435.18875533506196,499.93829561910854,11.487923558558233,-19.8614955874281,44.888044696618465,1000
SLy,0.031055276381909545,455.0502509224901,466.56705333493545,435.30604766319743,499.9708029701349,11.516802412445385,-19.74420325929265,44.920552047644826,1000
SLy,0.03135678391959799,455.0502509224901,466.5636794793264,435.6211846119664,500.2930046409702,11.513428556836345,-19.429066310523673,45.2427537184801,1000
SLy,0.03165829145728643,455.0502509224901,466.7137685453672,435.8730007044581,500.36574637756684,11.66351762287713,-19.177250218032,45.315495455076764,1000
SLy,0.03195979899497487,455.0502509224901,466.96263401340354,435.86300148274745,500.4207163727572,11.912383090913437,-19.187249439742605,45.37046545026716,1000
SLy,0.03226130653266331,455.0502509224901,467.1594806607486,436.26694928687454,500.58868963262285,12.10922973825851,-18.78330163561553,45.53843871013278,1000
SLy,0.032562814070351755,455.0502509224901,467.3279390704307,436.65585663485064,500.8759631599047,12.277688147940642,-18.39439428763942,45.82571223741459,1000
SLy,0.032864321608040196,455.0502509224901,467.4278868687601,436.7579474306552,501.06242387468205,12.377635946270031,-18.292303491834886,46.01217295219199,1000
SLy,0.03316582914572864,455.0502509224901,467.636405049235,436.8014574028339,501.0260098711253,12.586154126744937,-18.248793519656193,45.97575894863525,1000
SLy,0.03346733668341708,455.0502509224901,467.7092148070047,437.0795456156611,501.2536862385462,12.658963884514622,-17.970705306828947,46.203435316056115,1000
SLy,0.03376884422110552,455.0502509224901,467.84141969007453,437.26185654638897,501.1264097878246,12.791168767584445,-17.788394376101106,46.07615886533456,1000
SLy,0.034070351758793964,455.0502509224901,467.94116330075406,437.3148256410379,500.7205026856077,12.890912378263998,-17.735425281452216,45.67025176311761,1000
SLy,0.034371859296482406,455.0502509224901,467.94938923008647,437.37617449985044,500.8554358399516,12.899138307596377,-17.67407642263963,45.80518491746155,1000
SLy,0.03467336683417085,455.0502509224901,467.91988057866104,437.6581941749936,501.1356678317713,12.869629656170943,-17.39205674749649,46.085416909281214,1000
SLy,0.03497487437185929,455.0502509224901,467.9750129868799,437.85344737862187,501.4119120257915,12.92476206438981,-17.196803543868196,46.36166110330142,1000
SLy,0.03527638190954773,455.0502509224901,468.04793455220414,437.98220347248923,501.41517424616313,12.997683629714073,-17.06804745000084,46.36492332367303,1000
SLy,0.03557788944723618,455.0502509224901,468.3634833418236,438.11200285451406,501.2721603382853,13.31323241933353,-16.938248067976044,46.22190941579519,1000
SLy,0.03587939698492462,455.0502509224901,468.4745483205515,438.25095540277727,501.3689874042445,13.424297398061405,-16.79929551971283,46.31873648175442,1000
SLy,0.036180904522613064,455.0502509224901,468.64864586465285,438.4165271258544,501.5020833832458,13.598394942162761,-16.633723796635703,46.451832460755746,1000
SLy,0.036482412060301506,455.0502509224901,468.88777331273474,438.7555237315078,501.6224814047612,13.837522390244663,-16.294727190982247,46.57223048227109,1000
SLy,0.03678391959798995,455.0502509224901,469.21794136718427,439.17448529878715,501.5416098208456,14.167690444694193,-15.875765623702941,46.49135889835554,1000
SLy,0.03708542713567839,455.0502509224901,469.3975291753741,439.38154084045084,501.6098308234739,14.347278252884,-15.668710082039265,46.55957990098383,1000
SLy,0.03738693467336683,455.0502509224901,469.7136539490326,439.602815358645,501.6708650386739,14.663403026542522,-15.447435563845119,46.620614116183816,1000
SLy,0.03768844221105527,455.0502509224901,469.7769226034315,439.86711041897246,501.72471246644557,14.726671680941424,-15.183140503517608,46.6744615439555,1000
SLy,0.037989949748743715,455.0502509224901,469.77980077258394,440.03749696641523,501.7446599358551,14.729549850093873,-15.012753956074862,46.69440901336506,1000
SLy,0.03829145728643216,455.0502509224901,469.92104832887406,440.27851394580784,501.6156062868884,14.870797406383975,-14.771736976682226,46.56535536439832,1000
SLy,0.0385929648241206,455.0502509224901,469.9865084546491,440.5392042365815,501.72545094546024,14.936257532159015,-14.511046685908559,46.67520002297013,1000
SLy,0.03889447236180904,455.0502509224901,470.1588600507412,440.7861910630107,501.8553856202323,15.10860912825115,-14.264059859479385,46.80513469774223,1000
SLy,0.03919597989949748,455.0502509224901,470.3276279453022,441.2160010674094,501.87401580711975,15.277377022812107,-13.834249855080659,46.823764884629654,1000
SLy,0.039497487437185924,455.0502509224901,470.57691178106137,441.7388096350641,501.9242383076057,15.526660858571294,-13.311441287425975,46.873987385115655,1000
SLy,0.039798994974874366,455.0502509224901,470.74210412262215,441.6672016380732,502.00846262665436,15.691853200132098,-13.383049284416845,46.9582117041643,1000
