r_km,r_over_R,epsratio
0.0,0.0,1.96876e-08
0.05,0.004166666666666667,1.9710497075459464e-08
0.1,0.008333333333333333,1.973277528815835e-08
0.15000000000000002,0.0125,1.9754396898650364e-08
0.2,0.016666666666666666,1.9775324298720857e-08
0.25,0.020833333333333332,1.9795520076704925e-08
0.30000000000000004,0.025,1.981494708244904e-08
0.35,0.029166666666666667,1.9833568491798164e-08
0.4,0.03333333333333333,1.9851347870491516e-08
0.44999999999999996,0.0375,1.9868249237351205e-08
0.5,0.041666666666666664,1.9884237126649e-08
0.5499999999999999,0.04583333333333333,1.9899276649538435e-08
0.6000000000000001,0.05,1.99133335544408e-08
0.65,0.05416666666666667,1.992637428627584e-08
0.7,0.058333333333333334,1.993836604442987e-08
0.75,0.0625,1.9949276839356457e-08
0.8,0.06666666666666667,1.9959075547707476e-08
0.85,0.07083333333333333,1.9967731965894855e-08
0.8999999999999999,0.075,1.9975216861986375e-08
0.95,0.07916666666666666,1.998150202584204e-08
1.0,0.08333333333333333,1.998656031740056e-08
1.0499999999999998,0.0875,1.9990365713029224e-08
1.0999999999999999,0.09166666666666666,1.999289334985383e-08
1.15,0.09583333333333333,1.9994119567989128e-08
1.2000000000000002,0.1,1.9994021950594177e-08
1.25,0.10416666666666667,1.9992579361681008e-08
1.3,0.10833333333333334,1.998977198160917e-08
1.35,0.1125,1.998558134020302e-08
1.4,0.11666666666666667,1.997999034743305e-08
1.45,0.12083333333333333,1.9972983321606976e-08
1.5,0.125,1.9964546015021062e-08
1.5499999999999998,0.12916666666666665,1.995466563702681e-08
1.6,0.13333333333333333,1.9943330874472766e-08
1.6500000000000001,0.1375,1.993053190948644e-08
1.7,0.14166666666666666,1.9916260434565798e-08
1.75,0.14583333333333334,1.9900509664955135e-08
1.7999999999999998,0.15,1.9883274348285017e-08
1.85,0.15416666666666667,1.986455077146099e-08
1.9,0.15833333333333333,1.9844336764790925e-08
1.9500000000000002,0.1625,1.982263170334605e-08
2.0,0.16666666666666666,1.9799436505555553e-08
2.05,0.17083333333333334,1.9774753629040122e-08
2.0999999999999996,0.175,1.9748587063694592e-08
2.15,0.17916666666666667,1.972094232203511e-08
2.1999999999999997,0.18333333333333332,1.9691826426831188e-08
2.25,0.1875,1.9661247896048123e-08
2.3,0.19166666666666665,1.9629216725130082e-08
2.35,0.19583333333333333,1.95957443666592e-08
2.4000000000000004,0.2,1.9560843707430756e-08
2.45,0.20416666666666666,1.9524529042989298e-08
2.5,0.20833333333333334,1.948681604967526e-08
2.55,0.2125,1.9447721754236157e-08
2.6,0.21666666666666667,1.9407264501060948e-08
2.65,0.22083333333333333,1.9365463917100516e-08
2.7,0.225,1.932234087454137e-08
2.75,0.22916666666666666,1.9277917451303974e-08
2.8,0.23333333333333334,1.9232216889440816e-08
2.8499999999999996,0.2375,1.9185263551513453e-08
2.9,0.24166666666666667,1.913708287503119e-08
2.9499999999999997,0.24583333333333332,1.90877013250378e-08
3.0,0.25,1.9037146344935845e-08
3.05,0.25416666666666665,1.898544630564155e-08
3.0999999999999996,0.2583333333333333,1.893263045316602e-08
3.1500000000000004,0.2625,1.887872885472161e-08
3.2,0.26666666666666666,1.8823772343454655e-08
3.25,0.2708333333333333,1.876779246190856e-08
3.3000000000000003,0.275,1.871082140432317e-08
3.35,0.2791666666666667,1.8652891957878637e-08
3.4,0.2833333333333333,1.8594037442993718e-08
3.4499999999999997,0.2875,1.8534291652790256e-08
3.5,0.2916666666666667,1.847368879183673e-08
3.55,0.29583333333333334,1.8412263414285397e-08
3.5999999999999996,0.3,1.835005036151813e-08
3.6499999999999995,0.30416666666666664,1.8287084699417207e-08
3.7,0.30833333333333335,1.822340165537764e-08
3.75,0.3125,1.8159036555178053e-08
3.8,0.31666666666666665,1.8094024759827343e-08
3.8499999999999996,0.3208333333333333,1.8028401602504117e-08
3.9000000000000004,0.325,1.7962202325705665e-08
3.95,0.32916666666666666,1.789546201872274e-08
4.0,0.3333333333333333,1.7828215555555554e-08
4.050000000000001,0.3375,1.776049753338555e-08
4.1,0.3416666666666667,1.769234221171625e-08
4.15,0.3458333333333333,1.7623783452295126e-08
4.199999999999999,0.35,1.755485465992677e-08
4.25,0.3541666666666667,1.748558872428597e-08
4.3,0.35833333333333334,1.74160179628371e-08
4.35,0.3625,1.7346174064964103e-08
4.3999999999999995,0.36666666666666664,1.727608803741301e-08
4.45,0.37083333333333335,1.7205790151146185e-08
4.5,0.375,1.7135309889704783e-08
4.55,0.37916666666666665,1.7064675899172924e-08
4.6,0.3833333333333333,1.6993915939833932e-08
4.65,0.3875,1.692305683960571e-08
4.7,0.39166666666666666,1.685212444933874e-08
4.75,0.3958333333333333,1.6781143600056694e-08
4.800000000000001,0.4,1.6710138062215777e-08
4.85,0.4041666666666667,1.6639130507055018e-08
4.9,0.4083333333333333,1.6568142470105664e-08
4.949999999999999,0.4125,1.649719431692363e-08
