rho_c,M_msun,R_km,Lambda,C,k2,profile,W_max,W_center
158489319246111.1,0.04065461803365363,6.178471277148329,2929567513.4961867,0.009716552777849314,0.38058865657672153,,2.786523826103619e-37,2.786523826103619e-37
199526231496887.47,0.06692602149455355,6.755754537812555,371538472.3806949,0.014628658712999822,0.3733512328916906,,2.2045219764247613e-37,2.2045219764247613e-37
251188643150957.2,0.10915537933295659,7.363853652818924,48139546.8862822,0.021888870674735886,0.36283571876917786,,1.7404572172733997e-37,1.7404572172733997e-37
316227766016837.94,0.17561112158750256,7.989741676159242,6436915.122432321,0.032456571334520415,0.347762092159532,,1.3697895172096303e-37,1.3697895172096303e-37
398107170553496.94,0.2769820199611062,8.611176084670971,901527.9924529768,0.047497687867035725,0.32691347425515616,,1.0730339194166517e-37,1.0730339194166517e-37
501187233627271.44,0.42480339487113367,9.194035675659192,134894.54378533896,0.06822839501428597,0.2991654378164137,,8.347687822476512e-38,8.347687822476512e-38
630957344480191.8,0.7009075928019998,9.872100330140976,13533.04577841056,0.1048418233094619,0.25713407700371077,,6.367853340504413e-38,6.367853340504413e-38
794328234724282.1,1.0952456166172029,10.45153769600186,1548.4936716703012,0.15474431163507577,0.20609818206252498,,4.728884464440321e-38,4.728884464440321e-38
1000000000000000.0,1.5409257624079589,10.745313941743385,235.10169075117963,0.21176099477566745,0.15016781225723794,,3.3709610245979496e-38,3.3709610245979496e-38
1258925411794166.2,1.906454493710159,10.66143447803011,53.30215964347626,0.26405485809602347,0.10263769142169327,,2.2828715892495557e-38,2.2828715892495557e-38
1584893192461110.8,2.1180946524976725,10.251480447393496,17.166678952922847,0.3050999504055595,0.06807509082445107,,1.447018692725613e-38,1.447018692725613e-38
1995262314968882.8,2.1689778301384406,9.651325275894012,7.557638802010691,0.3318574113638737,0.045628374458451616,,8.533791141039087e-39,8.533791141039087e-39
2511886431509582.0,2.1063237665288077,9.008673877989768,4.377827671502048,0.34526107922895966,0.032217218294118,,4.7000661491561235e-39,4.7000661491561235e-39
3162277660168379.0,1.9893007057471352,8.438562465275934,3.2894068324541625,0.3481090613023234,0.025222346633353085,,2.4456772493028807e-39,2.4456772493028807e-39
3981071705534969.0,1.8649139878652357,8.012431922856114,3.1522043876444013,0.34369864090941993,0.022677475284612992,,1.2200665610994706e-39,1.2200665610994706e-39
5011872336272715.0,1.7629432583014395,7.758993764180991,3.6029844730077816,0.3355183617447158,0.022979210974251416,,5.914014843931396e-40,5.914014843931396e-40
6309573444801942.0,1.6973675016182654,7.664884432392716,4.414566707427149,0.32700442730646834,0.02475982129374675,,2.8142089608007772e-40,2.8142089608007772e-40
7943282347242821.0,1.6682654741692664,7.68095239665406,5.27300362167709,0.3207254693280501,0.026842105272704513,,1.3239375171089377e-40,1.3239375171089377e-40
