r_km,r_over_R,epsratio
0.0,0.0,0.06
0.05,0.004166666666666667,0.0600697812088608
0.1,0.008333333333333333,0.06013767636936452
0.15000000000000002,0.0125,0.060203570466640016
0.2,0.016666666666666666,0.06026734888575811
0.25,0.020833333333333332,0.0603288976107954
0.30000000000000004,0.025,0.060388103422811444
0.35,0.029166666666666667,0.060444854096379945
0.4,0.03333333333333333,0.060499038594317794
0.44999999999999996,0.0375,0.06055054726025886
0.5,0.041666666666666664,0.060599272008723254
0.5499999999999999,0.04583333333333333,0.06064510651233803
0.6000000000000001,0.05,0.06068794638586968
0.65,0.05416666666666667,0.06072768936673594
0.7,0.058333333333333334,0.06076423549166949
0.75,0.0625,0.06079748726921451
0.8,0.06666666666666667,0.0608273498477442
0.85,0.07083333333333333,0.060853731178695795
0.8999999999999999,0.075,0.06087654217472839
0.95,0.07916666666666666,0.06089569686251866
1.0,0.08333333333333333,0.06091111252991902
1.0499999999999998,0.0875,0.06092270986721355
1.0999999999999999,0.09166666666666666,0.06093041310221814
1.15,0.09583333333333333,0.06093415012898209
1.2000000000000002,0.1,0.060933852629860966
1.25,0.10416666666666667,0.060929456190742415
1.3,0.10833333333333334,0.06092090040921952
1.35,0.1125,0.06090812899551907
1.4,0.11666666666666667,0.06089108986600617
1.45,0.12083333333333333,0.060869735229099456
1.5,0.125,0.06084402166344622
1.5499999999999998,0.12916666666666665,0.06081391018822043
1.6,0.13333333333333333,0.060779366325421386
1.6500000000000001,0.1375,0.06074036015406584
1.7,0.14166666666666666,0.06069686635618094
1.75,0.14583333333333334,0.06064886425452102
1.7999999999999998,0.15,0.060596337841946256
1.85,0.15416666666666667,0.06053927580241672
1.9,0.15833333333333333,0.060477671523570954
1.9500000000000002,0.1625,0.060411523100873804
2.0,0.16666666666666666,0.06034083333333332
2.05,0.17083333333333334,0.060265609710803116
2.0999999999999996,0.175,0.06018586439290089
2.15,0.17916666666666667,0.06010161417959054
2.1999999999999997,0.18333333333333332,0.060012880473489474
2.25,0.1875,0.059919689233979126
2.3,0.19166666666666665,0.059822070923210804
2.35,0.19583333333333333,0.05972006044411467
2.4000000000000004,0.2,0.05961369707053401
2.45,0.20416666666666666,0.05950302436962138
2.5,0.20833333333333334,0.05938809011664782
2.55,0.2125,0.059268946202389795
2.6,0.21666666666666667,0.05914564853327256
2.65,0.22083333333333333,0.05901825692446164
2.7,0.225,0.058886834986107105
2.75,0.22916666666666666,0.05875145000295813
2.8,0.23333333333333334,0.0586121728075768
2.8499999999999996,0.2375,0.05846907764739263
2.9,0.24166666666666667,0.05832224204584974
2.9499999999999997,0.24583333333333332,0.05817174665790995
3.0,0.25,0.058017675120184825
3.05,0.25416666666666665,0.05786011389597986
3.0999999999999996,0.2583333333333333,0.05769915211554285
3.1500000000000004,0.2625,0.057534881411817416
3.2,0.26666666666666666,0.05736739575201037
3.25,0.2708333333333333,0.0571967912652895
3.3000000000000003,0.275,0.057023166066935034
3.35,0.2791666666666667,0.05684662007927417
3.4,0.2833333333333333,0.056667254849734
3.4499999999999997,0.2875,0.056485173366353204
3.5,0.2916666666666667,0.05630047987109672
3.55,0.29583333333333334,0.05611327967132224
3.5999999999999996,0.3,0.05592367894974948
3.6499999999999995,0.30416666666666664,0.05573178457328636
3.7,0.30833333333333335,0.055537703901067596
3.75,0.3125,0.05534154459206217
3.8,0.31666666666666665,0.05514341441260695
3.8499999999999996,0.3208333333333333,0.054943421044223124
3.9000000000000004,0.325,0.05474167189207115
3.95,0.32916666666666666,0.05453827389439873
4.0,0.3333333333333333,0.05433333333333333
4.050000000000001,0.3375,0.054126955647368545
4.1,0.3416666666666667,0.05391924524588954
4.15,0.3458333333333333,0.053710305326078726
4.199999999999999,0.35,0.053500237692537755
4.25,0.3541666666666667,0.053289142579956844
4.3,0.35833333333333334,0.053077118479155715
4.35,0.3625,0.05286426196681394
4.3999999999999995,0.36666666666666664,0.052650667539201355
4.45,0.37083333333333335,0.052436427450210855
4.5,0.375,0.05222163155398764
4.55,0.37916666666666665,0.052006367152439885
4.6,0.3833333333333333,0.05179071884790609
4.65,0.3875,0.05157476840124457
4.7,0.39166666666666666,0.05135859459559949
4.75,0.3958333333333333,0.05114227310608717
4.800000000000001,0.4,0.05092587637563475
4.85,0.4041666666666667,0.05070947349719118
4.9,0.4083333333333333,0.05049313010251833
4.949999999999999,0.4125,0.05027690825775705
5.0,0.4166666666666667,0.050060866365950224
5.05,0.42083333333333334,0.04984505907669099
5.1,0.425,0.0496295372030508
5.1499999999999995,0.42916666666666664,0.04941434764592789
5.2,0.43333333333333335,0.049199533325942346
5.25,0.4375,0.04898513312298949
