r_over_R,epsratio
0.0,0.06
0.005,0.059998800000000005
0.01,0.059995200000000005
0.015,0.05998919999999999
0.02,0.05998080000000001
0.025,0.05997
0.03,0.0599568
0.035,0.0599412
0.04,0.0599232
0.045,0.0599028
0.05,0.059879999999999996
0.055,0.05985479999999999
0.06,0.0598272
0.065,0.0597972
0.07,0.0597648
0.075,0.05973
0.08,0.0596928
0.085,0.0596532
0.09,0.059611199999999996
0.095,0.059566799999999996
0.1,0.059519999999999997
0.105,0.05947080000000001
0.11,0.059419200000000005
0.115,0.05936519999999999
0.12,0.0593088
0.125,0.05925
0.13,0.0591888
0.135,0.059125199999999996
0.14,0.059059200000000006
0.145,0.05899080000000001
0.15,0.05892
0.155,0.0588468
0.16,0.05877120000000001
0.165,0.0586932
0.17,0.05861279999999999
0.17500000000000002,0.05853
0.18,0.0584448
0.185,0.0583572
0.19,0.0582672
0.195,0.058174800000000006
0.2,0.05807999999999999
0.20500000000000002,0.0579828
0.21,0.057883199999999996
0.215,0.0577812
0.22,0.05767680000000001
0.225,0.057569999999999996
0.23,0.057460800000000006
0.23500000000000001,0.0573492
0.24,0.05723520000000001
0.245,0.0571188
0.25,0.056999999999999995
0.255,0.0568788
0.26,0.056755200000000006
0.265,0.056629200000000005
0.27,0.056500800000000004
0.275,0.056369999999999996
0.28,0.0562368
0.28500000000000003,0.0561012
0.29,0.0559632
0.295,0.0558228
0.3,0.05568000000000001
0.305,0.0555348
0.31,0.055387200000000004
0.315,0.0552372
0.32,0.055084799999999996
0.325,0.05493
0.33,0.0547728
0.335,0.0546132
0.34,0.054451200000000005
0.34500000000000003,0.054286799999999996
0.35000000000000003,0.054119999999999994
0.355,0.0539508
0.36,0.0537792
0.365,0.053605200000000006
0.37,0.05342879999999999
0.375,0.05325
0.38,0.053068800000000006
0.385,0.0528852
0.39,0.052699199999999995
0.395,0.0525108
0.4,0.052320000000000005
0.405,0.052126799999999994
0.41000000000000003,0.051931200000000004
0.41500000000000004,0.0517332
0.42,0.051532800000000004
0.425,0.051329999999999994
0.43,0.051124800000000005
0.435,0.05091720000000001
0.44,0.0507072
0.445,0.0504948
0.45,0.050280000000000005
0.455,0.050062800000000005
0.46,0.049843200000000004
0.465,0.049621200000000004
0.47000000000000003,0.0493968
0.47500000000000003,0.049170000000000005
0.48,0.048940800000000007
0.485,0.048709199999999994
0.49,0.048475199999999996
0.495,0.04823879999999999
0.5,0.048
0.505,0.04775879999999999
0.51,0.047515199999999994
0.515,0.0472692
0.52,0.04702080000000001
0.525,0.046770000000000006
0.53,0.0465168
0.535,0.0462612
0.54,0.0460032
0.545,0.0457428
0.55,0.04548
0.555,0.045214800000000006
0.56,0.0449472
0.5650000000000001,0.0446772
0.5700000000000001,0.0444048
0.5750000000000001,0.04413
0.58,0.0438528
0.585,0.043573200000000006
0.59,0.04329120000000001
0.595,0.0430068
0.6,0.042719999999999994
0.605,0.04243079999999999
0.61,0.0421392
0.615,0.04184519999999999
0.62,0.0415488
0.625,0.041249999999999995
0.63,0.0409488
0.635,0.040645200000000006
0.64,0.0403392
0.645,0.04003079999999999
0.65,0.03971999999999999
0.655,0.0394068
0.66,0.039091200000000006
0.665,0.0387732
0.67,0.038452799999999995
0.675,0.03813
0.68,0.0378048
0.685,0.037477199999999995
0.6900000000000001,0.03714719999999999
0.6950000000000001,0.0368148
0.7000000000000001,0.03647999999999999
0.705,0.03614280000000001
0.71,0.0358032
0.715,0.035461200000000005
0.72,0.0351168
0.725,0.03477
0.73,0.0344208
0.735,0.0340692
0.74,0.0337152
0.745,0.0333588
0.75,0.033
0.755,0.0326388
0.76,0.0322752
0.765,0.0319092
0.77,0.0315408
0.775,0.031169999999999996
0.78,0.030796799999999996
0.785,0.0304212
0.79,0.030043199999999996
0.795,0.0296628
0.8,0.029279999999999994
0.805,0.028894799999999995
0.81,0.028507199999999996
0.8150000000000001,0.0281172
0.8200000000000001,0.027724799999999994
0.8250000000000001,0.027329999999999993
0.8300000000000001,0.026932799999999996
0.835,0.026533200000000003
0.84,0.026131200000000007
0.845,0.025726800000000005
0.85,0.025320000000000006
0.855,0.024910800000000004
0.86,0.024499200000000002
0.865,0.024085199999999998
0.87,0.0236688
0.875,0.02325
0.88,0.022828800000000003
0.885,0.022405199999999997
0.89,0.021979199999999997
0.895,0.021550800000000002
0.9,0.021119999999999996
0.905,0.020686799999999998
0.91,0.020251199999999994
0.915,0.019813199999999996
0.92,0.0193728
0.925,0.018929999999999995
0.93,0.018484799999999992
0.935,0.018037199999999993
0.9400000000000001,0.017587199999999994
0.9450000000000001,0.017134799999999995
0.9500000000000001,0.016679999999999997
0.9550000000000001,0.016222799999999996
0.96,0.015763200000000005
0.965,0.015301200000000001
0.97,0.014836800000000002
0.975,0.014370000000000003
0.98,0.013900800000000005
0.985,0.0134292
0.99,0.012955200000000002
0.995,0.012478799999999998
1.0,0.012
