r_km,r_over_R,epsratio
0.0,0.0,0.0
0.05,0.004166666666666667,0.0
0.1,0.008333333333333333,0.0
0.15000000000000002,0.0125,0.0
0.2,0.016666666666666666,0.0
0.25,0.020833333333333332,0.0
0.30000000000000004,0.025,0.0
0.35,0.029166666666666667,0.0
0.4,0.03333333333333333,0.0
0.44999999999999996,0.0375,0.0
0.5,0.041666666666666664,0.0
0.5499999999999999,0.04583333333333333,0.0
0.6000000000000001,0.05,0.0
0.65,0.05416666666666667,0.0
0.7,0.058333333333333334,0.0
0.75,0.0625,0.0
0.8,0.06666666666666667,0.0
0.85,0.07083333333333333,0.0
0.8999999999999999,0.075,0.0
0.95,0.07916666666666666,0.0
1.0,0.08333333333333333,0.0
1.0499999999999998,0.0875,0.0
1.0999999999999999,0.09166666666666666,0.0
1.15,0.09583333333333333,0.0
1.2000000000000002,0.1,0.0
1.25,0.10416666666666667,0.0
1.3,0.10833333333333334,0.0
1.35,0.1125,0.0
1.4,0.11666666666666667,0.0
1.45,0.12083333333333333,0.0
1.5,0.125,0.0
1.5499999999999998,0.12916666666666665,0.0
1.6,0.13333333333333333,0.0
1.6500000000000001,0.1375,0.0
1.7,0.14166666666666666,0.0
1.75,0.14583333333333334,0.0
1.7999999999999998,0.15,0.0
1.85,0.15416666666666667,0.0
1.9,0.15833333333333333,0.0
1.9500000000000002,0.1625,0.0
2.0,0.16666666666666666,0.0
2.05,0.17083333333333334,0.0
2.0999999999999996,0.175,0.0
2.15,0.17916666666666667,0.0
2.1999999999999997,0.18333333333333332,0.0
2.25,0.1875,0.0
2.3,0.19166666666666665,0.0
2.35,0.19583333333333333,0.0
2.4000000000000004,0.2,0.0
2.45,0.20416666666666666,0.0
2.5,0.20833333333333334,0.0
2.55,0.2125,0.0
2.6,0.21666666666666667,0.0
2.65,0.22083333333333333,0.0
2.7,0.225,0.0
2.75,0.22916666666666666,0.0
2.8,0.23333333333333334,0.0
2.8499999999999996,0.2375,0.0
2.9,0.24166666666666667,0.0
2.9499999999999997,0.24583333333333332,0.0
3.0,0.25,0.0
3.05,0.25416666666666665,0.0
3.0999999999999996,0.2583333333333333,0.0
3.1500000000000004,0.2625,0.0
3.2,0.26666666666666666,0.0
3.25,0.2708333333333333,0.0
3.3000000000000003,0.275,0.0
3.35,0.2791666666666667,0.0
3.4,0.2833333333333333,0.0
3.4499999999999997,0.2875,0.0
3.5,0.2916666666666667,0.0
3.55,0.29583333333333334,0.0
3.5999999999999996,0.3,0.0
3.6499999999999995,0.30416666666666664,0.0
3.7,0.30833333333333335,0.0
3.75,0.3125,0.0
3.8,0.31666666666666665,0.0
3.8499999999999996,0.3208333333333333,0.0
3.9000000000000004,0.325,0.0
3.95,0.32916666666666666,0.0
4.0,0.3333333333333333,0.0
4.050000000000001,0.3375,0.0
4.1,0.3416666666666667,0.0
4.15,0.3458333333333333,0.0
4.199999999999999,0.35,0.0
4.25,0.3541666666666667,0.0
4.3,0.35833333333333334,0.0
4.35,0.3625,0.0
4.3999999999999995,0.36666666666666664,0.0
4.45,0.37083333333333335,0.0
4.5,0.375,0.0
4.55,0.37916666666666665,0.0
4.6,0.3833333333333333,0.0
4.65,0.3875,0.0
4.7,0.39166666666666666,0.0
4.75,0.3958333333333333,0.0
4.800000000000001,0.4,0.0
4.85,0.4041666666666667,0.0
4.9,0.4083333333333333,0.0
4.949999999999999,0.4125,0.0
5.0,0.4166666666666667,0.0
5.05,0.42083333333333334,0.0
5.1,0.425,0.0
5.1499999999999995,0.42916666666666664,0.0
5.2,0.43333333333333335,0.0
5.25,0.4375,0.0
5.3,0.44166666666666665,0.0
5.35,0.4458333333333333,0.0
5.4,0.45,0.0
5.45,0.45416666666666666,0.0
5.5,0.4583333333333333,0.0
5.55,0.46249999999999997,0.0
5.6,0.4666666666666667,0.0
5.65,0.4708333333333333,0.0
5.699999999999999,0.475,0.0
5.75,0.4791666666666667,0.0
5.8,0.48333333333333334,0.0
5.85,0.4875,0.0
5.8999999999999995,0.49166666666666664,0.0
5.95,0.49583333333333335,0.0
6.0,0.5,0.0
6.05,0.5041666666666667,0.0
6.1,0.5083333333333333,0.0
6.1499999999999995,0.5125,0.0
6.199999999999999,0.5166666666666666,0.0
6.25,0.5208333333333334,0.0
6.300000000000001,0.525,0.0
6.35,0.5291666666666667,0.0
6.4,0.5333333333333333,0.0
6.449999999999999,0.5375,0.0
6.5,0.5416666666666666,0.0
6.549999999999999,0.5458333333333333,0.0
6.6000000000000005,0.55,0.0
6.65,0.5541666666666667,0.0
6.7,0.5583333333333333,0.0
6.75,0.5625,0.0
6.8,0.5666666666666667,0.0
6.85,0.5708333333333333,0.0
6.8999999999999995,0.575,0.0
6.949999999999999,0.5791666666666666,0.0
7.0,0.5833333333333334,0.0
7.050000000000001,0.5875,0.0
7.1,0.5916666666666667,0.0
7.15,0.5958333333333333,0.0
7.199999999999999,0.6,0.0
7.25,0.6041666666666666,0.0
7.299999999999999,0.6083333333333333,0.0
7.3500000000000005,0.6125,0.0
7.4,0.6166666666666667,0.0
7.45,0.6208333333333333,0.0
7.5,0.625,0.0
7.55,0.6291666666666667,0.0
7.6,0.6333333333333333,0.0
7.6499999999999995,0.6375,0.0
7.699999999999999,0.6416666666666666,0.0
7.75,0.6458333333333334,0.0
7.800000000000001,0.65,0.0
7.85,0.6541666666666667,0.0
7.9,0.6583333333333333,0.0
7.949999999999999,0.6625,0.0
8.0,0.6666666666666666,0.0
8.049999999999999,0.6708333333333333,0.0
8.100000000000001,0.675,0.0
8.15,0.6791666666666667,0.0
8.2,0.6833333333333333,0.0
8.25,0.6875,0.0
8.3,0.6916666666666667,0.0
8.35,0.6958333333333333,0.0
8.399999999999999,0.7,0.0
8.45,0.7041666666666666,0.0
8.5,0.7083333333333334,0.0
8.55,0.7125,0.0
8.6,0.7166666666666667,0.0
8.65,0.7208333333333333,0.0
8.7,0.725,0.0
8.75,0.7291666666666666,0.0
8.799999999999999,0.7333333333333333,0.0
8.850000000000001,0.7375,0.0
8.9,0.7416666666666667,0.0
8.95,0.7458333333333333,0.0
9.0,0.75,0.0
9.05,0.7541666666666667,0.0
9.1,0.7583333333333333,0.0
9.149999999999999,0.7625,0.0
9.2,0.7666666666666666,0.0
9.25,0.7708333333333334,0.0
9.3,0.775,0.0
9.35,0.7791666666666667,0.0
9.4,0.7833333333333333,0.0
9.45,0.7875,0.0
9.5,0.7916666666666666,0.0
9.549999999999999,0.7958333333333333,0.0
9.600000000000001,0.8,0.0
9.65,0.8041666666666667,0.0
9.7,0.8083333333333333,0.0
9.75,0.8125,0.0
9.8,0.8166666666666667,0.0
9.85,0.8208333333333333,0.0
9.899999999999999,0.825,0.0
9.95,0.8291666666666666,0.0
10.0,0.8333333333333334,0.0
10.05,0.8375,0.0
10.1,0.8416666666666667,0.0
10.15,0.8458333333333333,0.0
10.2,0.85,0.0
10.25,0.8541666666666666,0.0
