rho_c,M_msun,R_km,Lambda,C,k2,profile,W_max,W_center
158489319246111.1,0.07778612963792408,7.592133827875283,348207642.6150111,0.015129398746553195,0.41403580907205056,,0.0,0.0
199526231496887.47,0.1306591685489763,8.356840234362261,40748611.71974829,0.023087725580603596,0.4009681115470008,,0.0,0.0
251188643150957.2,0.2160881594322125,9.150385951479606,4939172.037496886,0.034871844457353536,0.3820498266061783,,0.0,0.0
316227766016837.94,0.34929227601163054,9.942214578856234,630623.1248223956,0.051878715069716225,0.35547348013503655,,0.0,0.0
398107170553496.94,0.5464240182755803,10.684091626724891,86893.37233201333,0.07552235739179967,0.3202252699878918,,0.0,0.0
501187233627271.44,0.8172086553011567,11.30928667033453,13326.430188292401,0.10670409971115498,0.2765098567006583,,0.0,0.0
630957344480191.8,1.18925720978346,11.78934386802062,2029.9726427641492,0.1489599502898443,0.22332072942709882,,0.0,0.0
794328234724282.1,1.6051281320178625,12.000769875306196,375.19456179622614,0.19750766720834423,0.16914828217410005,,0.0,0.0
1000000000000000.0,1.9771756801582696,11.87936558278539,89.82079986992701,0.24577368045386533,0.12082172797270004,,0.0,0.0
1258925411794166.2,2.212269178908707,11.468353490796554,30.187249385855136,0.28485264667884075,0.08492119497162058,,0.0,0.0
1584893192461110.8,2.3027850265941368,10.852855191332102,13.140788189439684,0.3133233415344055,0.0595218501320906,,0.0,0.0
1995262314968882.8,2.2751915660613697,10.154017162522386,7.182654409966229,0.3308746058947114,0.04272611599716087,,0.0,0.0
2511886431509582.0,2.1743131047617483,9.479905817457725,4.8441175978094515,0.3386892573031417,0.03238269917120431,,0.0,0.0
3162277660168379.0,2.043232401862374,8.909642934228318,4.023235530577316,0.33864200640145503,0.026876385398081834,,0.0,0.0
3981071705534969.0,1.9148145332990747,8.492335474752466,4.059766674586407,0.33295300140689527,0.024917645580569532,,0.0,0.0
5011872336272715.0,1.81065765418498,8.247535738212466,4.728687111955515,0.3241869285130447,0.02539857414385328,,0.0,0.0
6309573444801942.0,1.74191261048611,8.162943747865498,5.855674620579853,0.3151105331341258,0.027288696925881328,,0.0,0.0
7943282347242821.0,1.709564428142107,8.194786956575241,7.109552188272961,0.30805705984593224,0.029586210045136084,,0.0,0.0
